Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
CERTI,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus, Regional centres and within organisations",Certificate I in Skills for Vocational Pathways ,"Literacy, Numeracy and Foundation Skills",,,AUD,Year,6,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/LN_FSK10213_C1_v1.1.pdf,English,A,"This qualification is designed for individuals who need skills to prepare for a vocational pathway qualification or further foundation skills development. It is suitable for individuals who require: / A prevocational pathway to employment and vocational training / Reading, writing, numeracy, oral communication and learning skills at Australian Core Skills Framework (ACSF) Level 2 / Entry level digital technology and employability skills / Education, training and employment goals.",No job roles are defined for this course. ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Use simple strategies for work-related learning ,Read & respond to simple workplace information,Write Simple Workplace Information ,Participate in simple spoken interactions at work ,Use digital technology for simple workplace tasks ,"Identify and use whole numbers and simple fractions, decimals and percentages for work ","Identify, measure and estimate familiar quantities for work ",Use digital technology for basic workplace tasks,Use digital technology for routine workplace tasks ,Interact effectively with others at work ,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus, Regional centres and within organisations",Certificate II in Skills for Work and Vocational Pathways ,"Literacy, Numeracy and Foundation Skills",,,AUD,Year,6,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/LN_FSK20113_C2.pdf,English,A,This qualification is designed for individuals who require further foundation skills development to prepare for workforce entry or vocational training pathways.,No job roles are defined for this course. ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Use digital technology for routine workplace tasks ,Use strategies to respond to routine workplace problems,Use routine strategies for work-related learning ,"Calculate with whole numbers and familiar fractions, decimals and percentages for work ","Estimate, measure and calculate routine metric measurements for work",Interact effectively with others at work ,Read and respond to routine workplace information ,Write routine workplace texts ,Operate a personal digital device,Contribute to health & safety of self & others ,,,,,,,,,,,,,,,,,,,,
CERTIII,Batchelor Institute ,Batchelor Campus ,Certificate III in Screen and Media,Media,,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/MEDIA_CUA31015_C3_v1.41.pdf,English,A,"This qualification reflects the role of a skilled operator in digital video, radio and online content creation, or a skilled assistant in the film and television production services who applies a broad range of competencies in a varied work context, using some discretion and judgement and relevant theoretical knowledge. ",Assistant Sound Technician (Radio) / Technical Production Assistant (Radio),Australia,Yes,Yes,,Yes,Yes,,Normal,No,Develop and extend critical and creative thinking skills, Contribute to health and safety of self and others,Work effectively in the creative arts industry,Develop techniques for presenting information on air,Present programs on air,Plan and prepare program content,Collect and organise content for broadcast or publication,Perform basic sound editing,Write content for a range of media,Conduct interviews,,,,,,,,,,,,,,,,,,,,
CERTIV,Batchelor Institute ,Batchelor Campus ,Certificate IV in Screen and Media,Media,,,AUD,Year,18,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/MEDIA_CUA41215_C4_v1.4.pdf,English,A,"This qualification reflects the role of individuals who use basic skills and a broad knowledge base in a wide variety of contexts in the screen, media and entertainment industries. They apply solutions to a defined range of unpredictable problems and analyse and evaluate information from a variety of sources. They may provide leadership and guidance to others with some limited responsibility for the output of others.","Production assistant for TV, film or online content / Independent videographer / Video Editor",Australia,Yes,Yes,,Yes,Yes,,Normal,No,"Articulate, present and debate ideas ",Investigate micro business opportunities,Apply work health and safety practices,Collaborate in a creative process ,Conduct interviews,Shoot material for screen productions,Shoot a wide range of screen content,Direct television programs and segments,Provide freelance services,Perform basic vision and sound editing,,,,,,,,,,,,,,,,,,,,
DIP,Batchelor Institute ,Batchelor Campus ,Diploma of Screen and Media,Media,,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/MEDIA_CUA51015_DIP_v1.1.pdf,English,A,"This qualification reflects the role of individuals who possess a sound theoretical knowledge base and use a range of specialised, technical or managerial competencies to plan, carry out and evaluate the work of self and/or team in the film, television, radio and interactive media industries.",Producer / Producer/presenter / Production manager / Cinematographer. ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Maintain and apply creative arts industry knowledge ,Establish and maintain safe creative practice,Originate and develop concepts,Create storyboards,Shoot television content in multi-camera environment,Edit screen content for fast turnaround,Develop storylines and treatments,Collaborate in a creative process,Manage locations for film and media production,Realise productions,,,,,,,,,,,,,,,,,,,,
CERTI,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate I in Automotive Vocational Preparation,Resource and Infrastructure,,,AUD,Year,,,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/RES_AUR10116_C1_v1.1.pdf,English,A,"This qualification is an introductory qualification to the automotive retail, service and repair industries and an entry to further training in several sectors. It is designed for application in a highly supervised context, as an introduction or induction to industry environments. The range of technical skills and knowledge is limited.
",No specific job role,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Identify environmental and sustainability requirements in an automotive service or repair workplace,Apply automotive workplace safety fundamentals ,Identify automotive mechanical systems and components ,Identify automotive electrical systems and components,Use and maintain tools and equipment in an automotive workplace ,Carry out mechanical pre repair operations ,Carry out pre-repair operations to outdoor power equipment,Carry out minor adjustments to outdoor power equipment ,,,,,,,,,,,,,,,,,,,,,,
CERTI,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate I in Engineering ,Resource and Infrastructure,,,AUD,Year,6-12,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Engineering_MEM10105_C1.pdf,English,A,"The minimum requirements for achievement of the Certificate I in Engineering are: / Completion of all of the core units of competency listed below, and / Completion of elective units listed below to the value of at least 24 points. Points associated with prerequisites count towards the total (refer to units and prerequisites listing in Appendix 2, Volume 1). Appropriate elective units to the value of 5 points may be chosen from other endorsed Training Packages and accredited courses where those units are available for inclusion at Certificate I. Note that the elective units listed below include all of the units that are approved for selection from the MEM Training Package for use qualification. This meets the NQC requirement that one sixth of the total units must be able to be selected from other qualifications in the same Training Package.",This course will prepare participants with skills and knowledge of welding and fabrication.,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Apply principles of occupational health and safety in the work environment,Plan to undertake a routine task ,Apply quality procedures ,"Work with others in a manufacturing, engineering or related environment ",Perform routine oxy acetylene welding ,Perform brazing and/or silver soldering,Perform manual heating and thermal cutting ,Perform routine manual metal arc welding,Perform manual production welding ,Perform manual production assembly,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate II in Resources and Infrastructure Work Preparation,Resource and Infrastructure,,,AUD,Year,6-12,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/RES_RII20115_C2_v1.3.pdf,English,A,"This qualification reflects the roles of individuals who perform mainly routine tasks and procedures, using limited practical skills and fundamental operational knowledge, and taking some responsibility for the quality of the work outcomes.",/ Other Construction and Mining Labourers ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Work safely and follow WHS policies and procedures,Conduct local risk contro,Identify and assess environmental and heritage concerns,Carry out measurement and calculation,Use hand and power tools,"Cut, weld and bend materials",Plan and organise work,Communicate in the workplace,Trim and cut felled trees,,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate II in Civil Construction,Resource and Infrastructure,,,AUD,Year,6,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/RES_RII20715_C2_v1.3.pdf,English,A,"This qualification reflects the role of individuals working in an operational role in civil construction, who undertake a prescribed range of tasks using limited practical skills and fundamental knowledge, in a defined context working under supervision. ",/ Earthmoving Plant Operators ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Plan and organize work,Carry out measurements and calculations,"Identify, locate and protect underground services",Read and interpret plans and specifications,Carry out manual excavation,Spread and compact materials manually,Communicate in the workplace,Use hand and power tools,Operate small plant and equipment,Work safely and follow WHS policies and procedures,,,,,,,,,,,,,,,,,,,,
CERTIII,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate III in Civil Construction Plant Operations,Resource and Infrastructure,,,AUD,Year,6,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/RES_RII30815_C3_v1.3.pdf,English,A,"This qualification reflects the role of a skilled operator working with civil construction plant, who applies a broad range of skills in a varied work context, using some discretion and judgement and relevant theoretical knowledge. The individual may provide theoretical advice and support a team.",/ Earth Moving Plant Operator (General),Australia,Yes,Yes,,Yes,Yes,,Normal,No,Plan and organise work,Carry out measurements and calculations,"Identify, locate and protect underground services",Read and interpret plans and specifications,Carry out manual excavation,Support plant operations,Spread and compact materials manually,Carry out basic levelling,Communicate in the workplace ,Handle resources and infrastructure materials and safely depose of nontoxic materials,,,,,,,,,,,,,,,,,,,,
CERTI,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate I in Visual Arts,Visual Arts,,,AUD,Year,3,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/VA_CUA10315-_C1_v1.41.pdf,English,A,This qualification reflects the role of individuals who are developing fundamental creative and technical skills that underpin visual arts and craft practice.,/ Community arts workshop assistant ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Contribute to health and safety of self and others,Use basic drawing techniques,Use ideas and techniques to develop creative work ,Develop painting skills ,Develop skills in textile work,Develop understanding of own Aboriginal or Torres Strait Islander Identity ,,,,,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate II in Visual Arts,Visual Arts,,,AUD,Year,18,Weeks,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/VA_CUA20715_C2_v1.4.pdf,English,A,This qualification reflects the role of individuals who are developing the basic creative and technical skills that underpin visual arts and craft practice.,"Art studio trainee / Community arts workshop assistant
",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Contribute to health and safety of self and others,Use basic drawing techniques ,Make simple creative work ,Source and use information relevant to own arts practice ,Develop drawing skills ,Develop ceramics skills,Develop printmaking skills ,"Identify fibres, fabrics and textiles used in the TCF industry ",Apply dyeing techniques to produce Indigenous textile designs ,,,,,,,,,,,,,,,,,,,,,
CERTIII,Batchelor Institute ,Batchelor campus and Remote Communities ,Certificate III in Visual Arts ,Visual Arts,,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/VA_CUA31115_C3_v1.4.pdf,English,A,This qualification reflects the role of individuals who are developing a range of visual art skills and who take responsibility for own outputs in work and learning. Practice at this level is underpinned by the application of introductory art theory and history.,Art studio technicians / Practising artist / Studio trainee / Art worker trainee / Textiles studio trainee,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Contribute to health and safety of self and others,Develop drawing skills to communicate ideas ,Produce creative work,Apply knowledge of history and theory to own arts practice ,Produce work that expresses own Aboriginal or Torres Strait Islander identity ,Produce paintings,Produce textile work ,Produce prints,Produce sculpture ,Produce ceramics ,,,,,,,,,,,,,,,,,,,,
